Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,0.14935811,999.0,-0.1875,-0.1875,1.0
20000,1.4189383,0.1166718,999.0,-0.375,-0.375,1.0
30000,1.4191611,0.16838428,999.0,0.0,0.0,1.0
40000,1.4191992,0.16278954,999.0,0.0,0.0,1.0
50000,1.4189461,0.15587984,999.0,0.0,0.0,1.0
60000,1.4188651,0.17002475,999.0,0.0,0.0,1.0
70000,1.417261,0.15186715,999.0,0.0,0.0,1.0
80000,1.4164103,0.13773578,999.0,-1.5,-1.5,1.0
90000,1.4160063,0.10420535,999.0,-2.1666666666666665,-2.1666666666666665,1.0
100000,1.4157221,0.08909055,999.0,-0.375,-0.375,1.0
110000,1.4162172,0.051985446,999.0,-1.5625,-1.5625,1.0
120000,1.416774,0.022833383,999.0,-0.8666666666666667,-0.8666666666666667,1.0
130000,1.4170351,0.03352818,999.0,0.0,0.0,1.0
140000,1.417488,-0.0023020885,999.0,-0.5,-0.5,1.0
150000,1.4169805,0.01652474,999.0,-0.3125,-0.3125,1.0
160000,1.4156569,0.019835694,999.0,0.0,0.0,1.0
170000,1.4154441,0.039003767,999.0,0.0,0.0,1.0
180000,1.4144306,0.013907785,999.0,-0.625,-0.625,1.0
190000,1.4144127,0.006033815,999.0,-1.375,-1.375,1.0
200000,1.414311,0.04149284,999.0,-0.3333333333333333,-0.3333333333333333,1.0
210000,1.414311,0.03941678,999.0,-0.6111111111111112,-0.6111111111111112,1.0
220000,1.4142693,0.024559457,999.0,-0.375,-0.375,1.0
230000,1.4142646,0.0122196525,999.0,-0.5,-0.5,1.0
240000,1.4127903,0.03130121,999.0,-0.43333333333333335,-0.43333333333333335,1.0
250000,1.4125696,0.03845533,999.0,0.0,0.0,1.0
260000,1.4126161,0.024646595,999.0,-2.375,-2.375,1.0
270000,1.4126327,0.034436636,999.0,0.0,0.0,1.0
280000,1.4130275,0.06396554,999.0,0.0,0.0,1.0
290000,1.41322,0.07035275,999.0,0.0,0.0,1.0
300000,1.413132,0.04568971,999.0,0.0,0.0,1.0
310000,1.413038,0.05887573,999.0,0.0,0.0,1.0
320000,1.411661,0.040000346,999.0,-0.03333333333333333,-0.03333333333333333,1.0
330000,1.4100908,0.034282953,999.0,-0.05555555555555555,-0.05555555555555555,1.0
340000,1.4095163,0.0469115,999.0,0.0,0.0,1.0
350000,1.4086336,0.030531138,999.0,0.0,0.0,1.0
360000,1.408315,0.043674737,999.0,0.0,0.0,1.0
370000,1.40739,0.038046647,999.0,-0.05555555555555555,-0.05555555555555555,1.0
380000,1.4074978,0.025426159,999.0,0.0,0.0,1.0
390000,1.4080309,0.020218646,999.0,-1.3125,-1.3125,1.0
400000,1.4081247,0.02437592,999.0,-0.9666666666666667,-0.9666666666666667,1.0
410000,1.4101752,-0.0011973723,999.0,-0.8333333333333334,-0.8333333333333334,1.0
420000,1.4101752,-0.0012050942,999.0,0.0,0.0,1.0
430000,1.4115056,-0.0026808928,999.0,0.0,0.0,1.0
440000,1.4115447,0.017585417,999.0,0.0,0.0,1.0
450000,1.4106601,0.006241055,999.0,0.0,0.0,1.0
460000,1.4105116,0.022690415,999.0,0.0,0.0,1.0
470000,1.4093885,0.019207465,999.0,0.0,0.0,1.0
480000,1.4090348,0.018787902,999.0,0.0,0.0,1.0
490000,1.4086922,0.020582458,999.0,0.0,0.0,1.0
500000,1.4085184,0.0032246336,999.0,0.0,0.0,1.0
510000,1.4085507,-0.0074955043,999.0,-1.375,-1.375,1.0
520000,1.4085807,0.010027581,999.0,-0.43333333333333335,-0.43333333333333335,1.0
530000,1.4092306,-0.015088516,999.0,-0.6666666666666666,-0.6666666666666666,1.0
540000,1.410017,0.015672147,999.0,0.0,0.0,1.0
550000,1.4103307,0.011053331,999.0,-0.375,-0.375,1.0
560000,1.410834,-0.0017660148,999.0,-0.8,-0.8,1.0
570000,1.4104965,0.034933176,999.0,0.0,0.0,1.0
580000,1.4094232,0.020525713,999.0,0.0,0.0,1.0
590000,1.4092124,0.0028715834,999.0,-0.125,-0.125,1.0
600000,1.4081656,0.035320543,999.0,0.0,0.0,1.0
610000,1.4081765,0.026416073,999.0,0.0,0.0,1.0
620000,1.408388,0.010577392,999.0,0.0,0.0,1.0
630000,1.408388,0.01182309,999.0,-0.4375,-0.4375,1.0
640000,1.4074614,0.012488456,999.0,-0.9333333333333333,-0.9333333333333333,1.0
650000,1.4074212,0.028361494,999.0,0.0,0.0,1.0
660000,1.4070032,0.014711842,999.0,0.0,0.0,1.0
670000,1.4069532,0.0071175583,999.0,0.0,0.0,1.0
680000,1.4073892,0.0027272012,999.0,-0.7,-0.7,1.0
690000,1.4074987,0.006862522,999.0,0.0,0.0,1.0
700000,1.4067552,0.01032908,999.0,0.0,0.0,1.0
710000,1.4063913,0.0025909147,999.0,-0.0625,-0.0625,1.0
720000,1.4063174,-0.02152597,999.0,-1.4666666666666666,-1.4666666666666666,1.0
730000,1.4062597,-0.018786533,999.0,-1.7777777777777777,-1.7777777777777777,1.0
740000,1.4063443,-0.038547654,999.0,-0.75,-0.75,1.0
750000,1.4064623,-0.04018624,999.0,0.0,0.0,1.0
760000,1.4066288,-0.03486216,999.0,0.0,0.0,1.0
770000,1.406901,-0.020287205,999.0,-0.05555555555555555,-0.05555555555555555,1.0
780000,1.4069256,-0.030426228,999.0,0.0,0.0,1.0
790000,1.4069726,-0.01984946,999.0,0.0,0.0,1.0
800000,1.4070697,-0.011474767,999.0,-0.6333333333333333,-0.6333333333333333,1.0
810000,1.4076887,-0.011373939,999.0,0.0,0.0,1.0
820000,1.4077127,-0.032001726,999.0,-0.875,-0.875,1.0
830000,1.4080774,-0.0039159167,999.0,0.0,0.0,1.0
840000,1.4080774,-0.007472473,999.0,0.0,0.0,1.0
850000,1.4080248,-0.018547775,999.0,0.0,0.0,1.0
860000,1.4080155,-0.030994665,999.0,-0.375,-0.375,1.0
870000,1.4078608,-0.02167198,999.0,0.0,0.0,1.0
880000,1.4078387,-0.032033313,999.0,-0.6,-0.6,1.0
890000,1.4080449,-0.01407055,999.0,-0.3333333333333333,-0.3333333333333333,1.0
900000,1.4081115,-0.0002186168,999.0,0.0,0.0,1.0
910000,1.40811,0.001750138,999.0,0.0,0.0,1.0
920000,1.4081095,0.0028507933,999.0,-0.16666666666666666,-0.16666666666666666,1.0
930000,1.4083207,0.0021313815,999.0,0.0,0.0,1.0
940000,1.4084791,0.007014817,999.0,0.0,0.0,1.0
950000,1.4079815,0.004683273,999.0,-0.5625,-0.5625,1.0
960000,1.4074231,-0.009077386,999.0,0.0,0.0,1.0
970000,1.4075221,-0.0068042567,999.0,-1.0,-1.0,1.0
980000,1.4077103,-0.034180425,999.0,-1.9375,-1.9375,1.0
990000,1.4076502,-0.0105693545,999.0,-0.125,-0.125,1.0
1000000,1.4075032,0.0023040546,999.0,-0.06666666666666667,-0.06666666666666667,1.0
1010000,1.4074472,-0.0018990096,999.0,0.0,0.0,1.0
1020000,1.4071826,-0.027219843,999.0,-0.75,-0.75,1.0
1030000,1.4071769,-0.019701725,999.0,-1.0625,-1.0625,1.0
1040000,1.4071541,-0.010974715,999.0,-0.8666666666666667,-0.8666666666666667,1.0
1050000,1.4071541,-0.023822237,999.0,-0.9444444444444444,-0.9444444444444444,1.0
1060000,1.407802,-0.008500221,999.0,0.0,0.0,1.0
1070000,1.407828,-0.023884984,999.0,-0.6875,-0.6875,1.0
1080000,1.4080923,-0.00034967356,999.0,-0.1,-0.1,1.0
1090000,1.4081243,-1.05046665e-05,999.0,0.0,0.0,1.0
1100000,1.4080139,-0.0067107445,999.0,-0.5625,-0.5625,1.0
1110000,1.4079679,-0.018870031,999.0,0.0,0.0,1.0
1120000,1.4079114,-0.015191941,999.0,-0.8666666666666667,-0.8666666666666667,1.0
1130000,1.4079,-0.0073036077,999.0,0.0,0.0,1.0
1140000,1.4075589,-0.03327663,999.0,-0.5625,-0.5625,1.0
1150000,1.4072863,-0.006590619,999.0,-0.1875,-0.1875,1.0
1160000,1.4069399,-0.0007577062,999.0,0.0,0.0,1.0
1170000,1.4065443,0.005102983,999.0,0.0,0.0,1.0
1180000,1.4059377,-0.013876396,999.0,0.0,0.0,1.0
1190000,1.4049664,-0.01098503,999.0,-3.1875,-3.1875,1.0
1200000,1.4048018,-0.013525833,999.0,-0.3,-0.3,1.0
1210000,1.4043802,-0.011203358,999.0,0.0,0.0,1.0
1220000,1.40448,-0.026447315,999.0,-0.9375,-0.9375,1.0
1230000,1.4049551,-0.0010239783,999.0,0.0,0.0,1.0
1240000,1.4049586,-0.013828254,999.0,0.0,0.0,1.0
1250000,1.4050272,-0.025866326,999.0,0.0,0.0,1.0
1260000,1.4050272,-0.017371478,999.0,-1.3125,-1.3125,1.0
1270000,1.4052587,-0.033741545,999.0,-0.0625,-0.0625,1.0
1280000,1.4052683,-0.03443466,999.0,0.0,0.0,1.0
1290000,1.4051751,-0.013914296,999.0,0.0,0.0,1.0
1300000,1.4051508,-0.014246029,999.0,0.0,0.0,1.0
1310000,1.4042386,-0.0117264595,999.0,0.0,0.0,1.0
1320000,1.403942,-0.059802756,999.0,-2.3,-2.3,1.0
1330000,1.4036154,-0.005929419,999.0,0.0,0.0,1.0
1340000,1.403469,-0.005616612,999.0,0.0,0.0,1.0
1350000,1.4033326,-0.00022753974,999.0,0.0,0.0,1.0
1360000,1.403238,0.0042037778,999.0,0.0,0.0,1.0
1370000,1.4032388,-0.00021231463,999.0,0.0,0.0,1.0
1380000,1.4032477,-0.024931122,999.0,-0.125,-0.125,1.0
1390000,1.4034576,-0.048780955,999.0,-1.3125,-1.3125,1.0
1400000,1.4037988,-0.0052301083,999.0,-0.13333333333333333,-0.13333333333333333,1.0
1410000,1.4036381,0.0072011887,999.0,0.0,0.0,1.0
1420000,1.4031146,0.0041806456,999.0,-0.5,-0.5,1.0
1430000,1.4030353,0.007945457,999.0,0.0,0.0,1.0
1440000,1.4027073,-0.018329967,999.0,-0.23333333333333334,-0.23333333333333334,1.0
1450000,1.4027011,0.004623565,999.0,-0.9444444444444444,-0.9444444444444444,1.0
1460000,1.4026529,-0.005904713,999.0,-0.125,-0.125,1.0
1470000,1.4026529,-0.0073098247,999.0,-1.0625,-1.0625,1.0
1480000,1.4029062,0.017347388,999.0,0.0,0.0,1.0
1490000,1.4029135,0.013556776,999.0,0.0,0.0,1.0
1500000,1.4021261,0.016965326,999.0,0.0,0.0,1.0
1510000,1.4019941,-0.0043849354,999.0,0.0,0.0,1.0
1520000,1.4018353,-0.019464405,999.0,-0.6,-0.6,1.0
1530000,1.4017988,-0.060120307,999.0,-1.3888888888888888,-1.3888888888888888,1.0
1540000,1.4017891,-0.00505229,999.0,-0.375,-0.375,1.0
1550000,1.4017875,0.005230017,999.0,0.0,0.0,1.0
1560000,1.4015796,-0.0011093746,999.0,0.0,0.0,1.0
1570000,1.4014283,0.012201017,999.0,0.0,0.0,1.0
1580000,1.4015177,-0.006967178,999.0,-0.3125,-0.3125,1.0
1590000,1.4016265,0.0070591923,999.0,0.0,0.0,1.0
1600000,1.4016753,0.00020080476,999.0,0.0,0.0,1.0
1610000,1.4017504,-0.0236828,999.0,-0.1111111111111111,-0.1111111111111111,1.0
1620000,1.4016587,0.007817636,999.0,0.0,0.0,1.0
1630000,1.4014028,-0.035186447,999.0,0.0,0.0,1.0
1640000,1.401413,-0.016899848,999.0,-2.0,-2.0,1.0
1650000,1.4015045,-0.049292807,999.0,-1.4444444444444444,-1.4444444444444444,1.0
1660000,1.4015172,-0.015317095,999.0,-0.1875,-0.1875,1.0
1670000,1.4016565,-0.02608558,999.0,0.0,0.0,1.0
1680000,1.4016564,-0.02245075,999.0,-0.8,-0.8,1.0
1690000,1.4012564,0.005369772,999.0,0.0,0.0,1.0
1700000,1.4012457,-0.003632369,999.0,0.0,0.0,1.0
1710000,1.4018644,0.011641535,999.0,0.0,0.0,1.0
1720000,1.4019598,0.012756612,999.0,0.0,0.0,1.0
1730000,1.4025071,0.0073439674,999.0,0.0,0.0,1.0
1740000,1.4026877,-0.020536955,999.0,-1.25,-1.25,1.0
1750000,1.4028277,-0.018036239,999.0,0.0,0.0,1.0
1760000,1.4028906,-0.02311614,999.0,-0.4,-0.4,1.0
1770000,1.4030871,0.013035419,999.0,0.0,0.0,1.0
1780000,1.4032491,-0.060933836,999.0,-2.0625,-2.0625,1.0
1790000,1.4033333,-0.028813154,999.0,-2.6875,-2.6875,1.0
1800000,1.4034323,-0.018213319,999.0,-0.16666666666666666,-0.16666666666666666,1.0
1810000,1.4035668,2.2426248e-05,999.0,0.0,0.0,1.0
1820000,1.4038099,-0.00092816947,999.0,-0.6875,-0.6875,1.0
1830000,1.4037125,-0.02212017,999.0,0.0,0.0,1.0
1840000,1.403448,-0.029052876,999.0,-1.5666666666666667,-1.5666666666666667,1.0
1850000,1.4034672,0.010110886,999.0,0.0,0.0,1.0
1860000,1.4035797,-0.098721944,999.0,-2.5625,-2.5625,1.0
1870000,1.4035641,0.006093348,999.0,0.0,0.0,1.0
1880000,1.4032396,-0.07643532,999.0,-0.6333333333333333,-0.6333333333333333,1.0
1890000,1.4032396,0.007408568,999.0,0.0,0.0,1.0
1900000,1.4028165,0.0143916905,999.0,0.0,0.0,1.0
1910000,1.4027975,0.012596148,999.0,0.0,0.0,1.0
1920000,1.4021788,-0.052545063,999.0,-0.5333333333333333,-0.5333333333333333,1.0
1930000,1.4020693,-0.028491879,999.0,-0.4444444444444444,-0.4444444444444444,1.0
1940000,1.4012731,0.007233786,999.0,0.0,0.0,1.0
1950000,1.4010187,-0.09577047,999.0,-0.4375,-0.4375,1.0
1960000,1.4008316,-0.030760827,999.0,-0.3,-0.3,1.0
1970000,1.4007441,-0.023890166,999.0,0.0,0.0,1.0
1980000,1.4006163,-0.04728307,999.0,-1.6875,-1.6875,1.0
1990000,1.400524,-0.012216125,999.0,0.0,0.0,1.0
2000000,1.4004189,-0.0073386203,999.0,0.0,0.0,1.0
2010000,1.400282,-0.047800496,999.0,-0.2222222222222222,-0.2222222222222222,1.0
2020000,1.3999736,-0.09368569,999.0,-1.9375,-1.9375,1.0
2030000,1.3994883,-0.011276256,999.0,0.0,0.0,1.0
2040000,1.3992447,-0.007839148,999.0,0.0,0.0,1.0
2050000,1.3985213,-0.038840525,999.0,-0.7777777777777778,-0.7777777777777778,1.0
2060000,1.3985381,-0.056664508,999.0,-1.0625,-1.0625,1.0
2070000,1.3986989,-0.109896235,999.0,-0.5625,-0.5625,1.0
2080000,1.3987424,-0.05462675,999.0,-1.6666666666666667,-1.6666666666666667,1.0
2090000,1.399793,-0.0071633384,999.0,0.0,0.0,1.0
2100000,1.399793,-0.0013680877,999.0,0.0,0.0,1.0
2110000,1.4000846,-0.0070815524,999.0,0.0,0.0,1.0
2120000,1.400088,-0.0029078296,999.0,-0.16666666666666666,-0.16666666666666666,1.0
2130000,1.4004264,-0.03792974,999.0,-0.7777777777777778,-0.7777777777777778,1.0
2140000,1.4004854,-0.035169728,999.0,-1.125,-1.125,1.0
2150000,1.4006164,-0.018667633,999.0,-0.0625,-0.0625,1.0
2160000,1.4006565,-0.027683029,999.0,-0.5,-0.5,1.0
2170000,1.4009879,0.0025537873,999.0,0.0,0.0,1.0
2180000,1.401174,-0.021559427,999.0,0.0,0.0,1.0
2190000,1.4013082,-0.037377443,999.0,-2.25,-2.25,1.0
2200000,1.4013984,-0.06772752,999.0,-3.033333333333333,-3.033333333333333,1.0
2210000,1.4016122,0.008854806,999.0,0.0,0.0,1.0
2220000,1.401872,0.0085259285,999.0,-0.125,-0.125,1.0
2230000,1.4018527,0.0012280525,999.0,0.0,0.0,1.0
2240000,1.4018028,0.006943557,999.0,0.0,0.0,1.0
