Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
84000,1.4263687,999.0,-0.050379783,-4.166666666666667,-4.166666666666667,1.0
96000,1.4263687,999.0,0.011735871,0.0,0.0,1.0
108000,1.4353837,999.0,-0.00911876,-0.6666666666666666,-0.6666666666666666,1.0
120000,1.439891,999.0,-0.0018630422,0.0,0.0,1.0
132000,1.4444392,999.0,-0.025305828,-1.1666666666666667,-1.1666666666666667,1.0
144000,1.4489968,999.0,0.0026923364,0.0,0.0,1.0
156000,1.4461107,999.0,-0.024424119,-0.20833333333333334,-0.20833333333333334,1.0
168000,1.4476666,999.0,-0.020222023,-0.7916666666666666,-0.7916666666666666,1.0
180000,1.4473479,999.0,0.0012659854,0.0,0.0,1.0
192000,1.4469815,999.0,-0.015731366,0.0,0.0,1.0
204000,1.4440918,999.0,-0.017073128,-1.1666666666666667,-1.1666666666666667,1.0
216000,1.4477645,999.0,-0.01499677,-1.0,-1.0,1.0
