Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,999.0,0.04643066,0.0,0.0,1.0
24000,1.4202529,999.0,-0.019773178,-0.08333333333333333,-0.08333333333333333,1.0
36000,1.4179806,999.0,0.010577321,0.0,0.0,1.0
48000,1.4155104,999.0,0.012980166,-0.4583333333333333,-0.4583333333333333,1.0
60000,1.4137187,999.0,0.0074872323,0.0,0.0,1.0
72000,1.4109633,999.0,-0.0047899103,-1.0,-1.0,1.0
84000,1.409554,999.0,0.005316721,-1.375,-1.375,1.0
96000,1.4081535,999.0,-0.00812485,-0.9166666666666666,-0.9166666666666666,1.0
108000,1.4078151,999.0,-0.013401772,-0.625,-0.625,1.0
120000,1.4096766,999.0,-0.020876357,-2.8333333333333335,-2.8333333333333335,1.0
132000,1.411146,999.0,-0.0029621136,-0.5,-0.5,1.0
144000,1.4126856,999.0,0.015077339,0.0,0.0,1.0
156000,1.4119611,999.0,0.013035168,0.0,0.0,1.0
168000,1.4100548,999.0,-0.0053897407,-0.3333333333333333,-0.3333333333333333,1.0
180000,1.4098848,999.0,-0.0018234267,0.0,0.0,1.0
192000,1.4097747,999.0,-0.011037302,-0.125,-0.125,1.0
204000,1.4154961,999.0,-0.004674762,-0.5833333333333334,-0.5833333333333334,1.0
216000,1.4200586,999.0,0.0022231224,0.0,0.0,1.0
228000,1.4213899,999.0,-0.018664822,-0.9166666666666666,-0.9166666666666666,1.0
240000,1.4226271,999.0,-0.0027912036,0.0,0.0,1.0
252000,1.423622,999.0,-0.015778488,-0.041666666666666664,-0.041666666666666664,1.0
264000,1.423737,999.0,0.0008649828,0.0,0.0,1.0
276000,1.4235193,999.0,-0.0013085162,0.0,0.0,1.0
288000,1.423287,999.0,0.00073417625,0.0,0.0,1.0
300000,1.4231107,999.0,-0.0035168526,-0.9583333333333334,-0.9583333333333334,1.0
312000,1.4294457,999.0,-0.006931028,-1.625,-1.625,1.0
324000,1.430571,999.0,-0.005033664,0.0,0.0,1.0
336000,1.4314809,999.0,-0.006121393,-2.5416666666666665,-2.5416666666666665,1.0
348000,1.4356091,999.0,-0.0069312025,0.0,0.0,1.0
360000,1.4374068,999.0,-0.006643197,-0.6666666666666666,-0.6666666666666666,1.0
372000,1.4374101,999.0,-0.0143442275,-0.25,-0.25,1.0
384000,1.437317,999.0,-0.012088686,0.0,0.0,1.0
396000,1.437902,999.0,-0.017953578,-0.3333333333333333,-0.3333333333333333,1.0
